bmi_grp,sex_male,sex_female,fev_lt40,fev_4070,fev_7090,fev_90p,diabetes,no_diabetes,pert,no_pert,mod,no_mod,
Healthy weight,1143,1123,7,137,556,1425,179,2087,1883,369,1964,302,
Obese,182,142,0,6,76,219,17,307,218,103,286,38,
Overweight,187,147,0,9,77,228,27,307,265,66,294,40,
Underweight,56,38,3,19,28,38,8,86,78,16,76,18,
,,,,,,,,,,,,,
,,,,Underweight,Healthy weight,Overweight,Obese,,,,,,
,,,,Underweight,Target Weight,Overweight,Obese,,,Underweight,Target Weight,Overweight,Obese
,,,Sex,,,,,,Sex,,,,
,,sex_male,Male,56,1143,187,182,,Male,56 (3.9%),"1,143 (78.8%)",187 (12.9%),182 (12.6%)
,,sex_female,Female,38,1123,147,142,,Female,,,,
,,,FEV1,,,,,,FEV1,,,,
,,fev_lt40,<40,3,7,0,0,,<40,03 (1.8%),07 (4.1%),00 (0.0%),00 (0.0%)
,,fev_4070,40 to 70,19,137,9,6,,40 to 70,19 (2.6%),137 (18.6%),09 (1.2%),06 (0.8%)
,,fev_7090,70 to 90,28,556,77,76,,70 to 90,28 (1.5%),556 (29.1%),77 (4.0%),76 (4.0%)
,,fev_90p,90+,38,1425,228,219,,90+,,,,
,,,Diabetes,,,,,,Diabetes,,,,
,,diabetes,Yes,8,179,27,17,,Yes,08 (0.3%),179 (6.4%),27 (1.0%),17 (0.6%)
,,no_diabetes,No,86,2087,307,307,,No,,,,
,,,PERT,,,,,,PERT,,,,
,,pert,Yes,78,1883,265,218,,Yes,78 (14.1%),"1,883 (339.9%)",265 (47.8%),218 (39.4%)
,,no_pert,No,16,369,66,103,,No,,,,
,,,CFTR Modulator,,,,,,CFTR Modulator,,,,
,,mod,Yes,76,1964,294,286,,Yes,76 (19.1%),"1,964 (493.5%)",294 (73.9%),286 (71.9%)
,,no_mod,No,18,302,40,38,,No,,,,
