year,n,n_valid_bmi,med,q25,q75,n_under,n_healthy,n_over,n_obese,grp
2007,1987,1966,0.09255863097667714,-0.6173331724543061,0.7683266032981325,104,1580,213,69,Child
2008,2698,2641,0.04559720204914254,-0.6520649547025714,0.7319951797137937,150,2143,245,103,Child
2009,3361,3231,0.0423674113161954,-0.6666798326904226,0.7222732993051684,194,2605,309,123,Child
2010,3573,3458,0.059796190386791105,-0.6299795555378975,0.7555411062157462,205,2720,367,166,Child
2011,3779,3712,0.09851544175944972,-0.5888918611635932,0.7989625616358774,222,2936,391,163,Child
2012,3840,3788,0.09003294402776338,-0.5739216259869286,0.7652842975597038,220,3005,381,182,Child
2013,3916,3861,0.0960023522383994,-0.5715346313380903,0.7875897264191488,200,3082,410,169,Child
2014,3926,3876,0.13221925363365986,-0.5666939741541779,0.8103863929877932,206,3046,436,188,Child
2015,3967,3926,0.1442635522727897,-0.5080259806091996,0.803210532707517,185,3131,402,208,Child
2016,3959,3936,0.12674217396785092,-0.5154533917022069,0.8178841475569018,164,3036,436,300,Child
2017,3991,3961,-0.0664274472196245,-0.9227699293409058,0.6691149363460746,653,2656,381,271,Child
2018,4010,3987,0.10946700309198824,-0.5195662811154091,0.7948481306188713,157,3085,431,314,Child
2019,4055,4033,0.12369857442968138,-0.531813169358102,0.7824272545691718,160,3154,405,314,Child
2020,4008,3280,0.23656242234410668,-0.43187477199500407,0.9456573079299648,115,2445,390,330,Child
2021,4003,3712,0.30475170653473926,-0.38654267593480457,1.005037547445637,106,2706,504,396,Child
2022,3963,3870,0.22993045152449726,-0.4100709015481104,0.955388419754526,104,2881,502,383,Child
2023,3904,3837,0.22738052383453697,-0.4171480803171663,0.9670775873703068,111,2838,467,421,Child
2007,2245,2154,21.795,19.84,23.97,231,1540,324,59,Adult
2008,3068,2938,21.79,19.84,24.1075,340,2078,425,95,Adult
2009,3624,3460,21.8470077514648,19.870709896087675,24.112140178680423,411,2405,524,120,Adult
2010,3950,3791,21.9669227600098,19.9235019683838,24.2712717056274,435,2602,618,136,Adult
2011,4425,4350,22.0764102935791,20.090075969696073,24.4897956848145,472,2945,750,183,Adult
2012,4534,4390,22.069334983825648,20.067677497863748,24.4516634941101,486,2973,745,186,Adult
2013,4695,4565,22.1708793640137,20.0560913085938,24.5389423370361,496,3082,807,180,Adult
2014,5101,4975,22.1878566741943,20.12712955474855,24.67978096008305,539,3334,885,217,Adult
2015,5254,5126,22.265624999999996,20.21139148817679,24.824585051981654,521,3401,942,262,Adult
2016,5399,5276,22.3,20.2,24.8,507,3481,1005,283,Adult
2017,5553,5390,22.4,20.3,25,472,3561,1070,287,Adult
2018,5525,5488,22.4,20.3,24.9,511,3618,1056,303,Adult
2019,5705,5685,22.5,20.399999618530273,25.200000762939453,495,3689,1161,340,Adult
2020,5450,4409,22.799999237060547,20.700000762939453,25.299999237060547,311,2862,953,283,Adult
2021,5890,5131,23.700000762939453,21.5,26.399999618530273,240,3010,1465,416,Adult
2022,6021,5905,23.700000762939453,21.399999618530273,26.600000381469727,293,3342,1717,553,Adult
2023,6165,6036,23.799999237060547,21.399999618530273,26.600000381469727,273,3443,1736,584,Adult
