sex,init_bmi,chng_bmi,age,n_microbiol,pancreatic_enzyme_suppl,lag_fev,lag_bmi,pred,lower,upper,ageg,vary,weight_cat
F,14.2,0,10,14.521808818119705,TRUE,70,14.2,0.9329280708590546,0.5129334375738641,1.352922704144245,Child,Change in BMI,Underweight
F,14.2,0.1,10,14.521808818119705,TRUE,70,14.299999999999999,1.216038492507731,0.8323554878103221,1.59972149720514,Child,Change in BMI,Underweight
F,14.2,0.2,10,14.521808818119705,TRUE,70,14.399999999999999,1.5025550882996601,1.1494637658384743,1.855646410760846,Child,Change in BMI,Underweight
F,14.2,0.30000000000000004,10,14.521808818119705,TRUE,70,14.5,1.79195226218236,1.4635636300392525,2.1203408943254676,Child,Change in BMI,Underweight
F,14.2,0.4,10,14.521808818119705,TRUE,70,14.6,2.083688393211158,1.7740425597664515,2.393334226655864,Child,Change in BMI,Underweight
F,14.2,0.5,10,14.521808818119705,TRUE,70,14.7,2.3772058355492534,2.080448421467991,2.673963249630516,Child,Change in BMI,Underweight
F,14.2,0.6000000000000001,10,14.521808818119705,TRUE,70,14.799999999999999,2.6719309184676585,2.3825480603763056,2.9613137765590114,Child,Change in BMI,Underweight
F,14.2,0.7000000000000001,10,14.521808818119705,TRUE,70,14.899999999999999,2.967273946345227,2.680335291245584,3.2542126014448702,Child,Change in BMI,Underweight
F,14.2,0.8,10,14.521808818119705,TRUE,70,15,3.262629198668656,2.9739780756188448,3.5512803217184676,Child,Change in BMI,Underweight
F,14.2,0.9,10,14.521808818119705,TRUE,70,15.1,3.5573749300324655,3.2637259739147915,3.8510238861501396,Child,Change in BMI,Underweight
F,14.2,1,10,14.521808818119705,TRUE,70,15.2,3.85087337013903,3.5498149986503975,4.151931741627663,Child,Change in BMI,Underweight
F,14.2,1.1,10,14.521808818119705,TRUE,70,15.299999999999999,4.142470723798567,3.832398036622336,4.4525434109747986,Child,Change in BMI,Underweight
F,14.2,1.2000000000000002,10,14.521808818119705,TRUE,70,15.399999999999999,4.431497170929092,4.111508794398219,4.751485547459964,Child,Change in BMI,Underweight
F,14.2,1.3,10,14.521808818119705,TRUE,70,15.5,4.717266866556516,4.387052406321278,5.047481326791754,Child,Change in BMI,Underweight
